barcode,item,new_desc,price,source
EXTNLEAD240V10A-0267,EXTNLEAD240V10A-0267,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0629,EXTNLEAD240V10A-0629,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0783,EXTNLEAD240V10A-0783,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0335,EXTNLEAD240V10A-0335,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0765,EXTNLEAD240V10A-0765,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0356,EXTNLEAD240V10A-0356,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0420,EXTNLEAD240V10A-0420,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0743,EXTNLEAD240V10A-0743,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0767,EXTNLEAD240V10A-0767,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0698,EXTNLEAD240V10A-0698,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0714,EXTNLEAD240V10A-0714,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0585,EXTNLEAD240V10A-0585,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0271,EXTNLEAD240V10A-0271,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
